
pytanie, odpowiedź, odpowiedź, odpowiedź, odpowiedź, odpowiedź, odpowiedź, odpowiedź 
Hej. Kim jesteś?, Człowiekiem, Studentem, Kogniludkiem, Chłopakiem, Dziewczyną, Chcę czuć się anonimowo, Kotem
Czy wszystko okej?, Tak, czuję się super!, Jest świetnie, Mam dobry humor, Ambiwalentnie, Hmm, nie jest mi dobrze, ale dziękuję, że pytasz, Daj mi inne pytanie
Czym się interesujesz?, Wszystkim po trochu, Niczym, Kogni mnie interesuje, TYlko psycho w moim sercu, Logika, Arystoteles, Klepanie kodu
W co chcesz zagrać?, Zabawa dla kognitywisty, Puzzle, filo gadka, debuguj kod, gra słowna, gra dla kognitywisty, gra dla psychopaty
Ok. Zrobię Ci test na osobowość.Najpiękniejsze miejsce na Ziemi to:, Plaża, Góry, Skały, Las, Park, Łąka, Miasto
Twoje ulubione danie z dzieciństwa to, Naleśniki, Jajecznica, Pizza, Gofry, Kakao, Lody śmietankowe, Lody czekoladowe
Ok. Poznaliśmy Cię trochę. Czy chcesz zagrać w grę?, Jasne, Pewnie że tak, Ok, dawaj, Nie, dzięki, słaby ten chat, Nie, nie chcę już grać, Koniec, pa, Ok. ostatni raz dam Ci szansę, Chatbocie
To, co najbardziej kojarzy Ci się z Francją to:, Croissanty, Crepes, Wieża Eiffla, Ser, Trójkolorowa flaga, Łuk Triumfalny, Bagietka
Najpiękniejszy kontynent to według Ciebie, Afryka, Europa, Ameryka Południowa, Ameryka Północna, Australia, Azja, Antarktyda
Jakie filmy lubisz oglądać najbardziej?, Komedie, Czarny humor, Dramaty, Horrory, Thrillery, Nie lubię filmów, Psychologiczne
Najbardziej lubisz oglądać seriale:, kryminalne, obyczajowe, nie lubię seriali, wszystkie, straszne, polskie, zagraniczne
Wybierz słowo, które opisuje Cię najbardziej, spokojny, logiczny, kreatywny, artystyczna dusza, nie ma słów, które mnie opiszą, emocjonalny, niczym się nie wyróżniam
Co jest najważniejszym problemem na świecie?, głód, prawa zwierząt, prawa człowieka, nierówność płci, nierówność klas, wojny, cały ten świat jest problemem
Ok. Wiemy już coś o Tobie. Chcesz przejść do kolejnej puli pytań?, Jasne!, Pewnie!, Niee, słaby ten test, Chatbot, daj coś innego, Chcę więcej, Chcę się pośmiać, Kończę. pa Chatbot
